GROUP;PERMNO;IBESTICKER
C;10026;JJSF
C;10032;PLUS
C;10044;RMCF
C;10182;TECD
C;10200;RGEN
C;10257;DGSI
C;10297;
C;10308;TCTC
C;10318;BLCP
C;10355;
C;10382;ASTE
C;10463;REFR
C;10517;ARON
C;10649;PTSI
C;10656;AA0A
C;10812;HTLD
C;10860;EPTO
C;10866;BG
C;10901;ITIC
C;11018;FFPR
C;11043;PMD
C;11267;CACO
C;11285;FBNC
C;11292;IM0C
C;11293;WSBC
C;11343;SAFM
C;11441;
C;11442;CHCO
C;11499;AA3E
C;11547;CNMD
C;11565;HBNC
C;11628;CPBI
C;11664;GDOT
C;11691;ALEX
C;11750;
C;11775;JWAI
C;11809;CLHB
C;11992;CHFC
C;11995;COKE
C;12007;OXF
C;12008;DYCO
C;12009;QUAX
C;12036;GMT
C;12051;ILL
C;12078;ELDM
C;12088;PSTT
C;12173;GNCM
C;12189;HIFS
C;12209;LWAY
C;12211;LINZ
C;12226;MWGP
C;12248;
C;12310;CHAC
C;12329;EFNC
C;12355;HRZT
C;12356;KEYW
C;12363;VRA
C;12374;IPHI
C;12391;CREM
C;12400;LPLA
C;12402;PRMW
C;12405;SODN
C;12451;GCAP
C;12477;WDWD
C;12487;
C;12497;VTUS
C;12502;
C;12509;
C;12540;AGRO
C;12541;INXN
C;12557;IFTZ
C;12559;NPTN
C;12575;ECYT
C;12577;FLDM
C;12615;FTFL
C;12639;CSOD
C;12640;SREV
C;12644;UANN
C;12645;ELLI
C;12667;MDGZ
C;12689;GMLP
C;12696;STBZ
C;12783;THRA
C;12785;UHCO
C;12786;VOCA
C;12792;EGAL
C;12795;RPXC
C;12798;WIFI
C;12871;GSJK
C;12877;PRTL
C;12905;SCKE
C;12915;FRAH
C;12916;HWLT
C;12920;
C;12922;
C;12924;TNGO
C;12927;ZIL
C;13009;
C;13015;STBT
C;13019;GNEE
C;13041;LMOS
C;13049;ZLTQ
C;13085;MRWC
C;13106;ANGI
C;13111;NLNK
C;13145;GZT
C;13159;CND
C;13172;BOXC
C;13185;JE
C;13196;RLGT
C;13198;JA0F
C;13262;IXCC
C;13265;ONSC
C;13299;MSN
C;13302;RMRM
C;13305;RXNN
C;13316;VCRA
C;13326;MTSZ
C;13327;NVDT
C;13329;CFPR
C;13399;TLYS
C;13403;TGLS
C;13429;ALXE
C;13454;EXAZ
C;13502;EGLH
C;13508;NGVC
C;13521;XNWK
C;13527;FWIN
C;13528;
C;13543;GMEZ
C;13564;
C;13577;HYPK
C;13579;NBHC
C;13584;SUSP
C;13599;LFLT
C;13615;LGPL
C;13625;SSTK
C;13631;AMNF
C;13658;00JH
C;13678;ALDW
C;13692;GGBN
C;13694;CGMZ
C;13704;ACEN
C;13705;PLPM
C;13706;PRTA
C;13712;FMGQ
C;13713;WFBI
C;13736;SBYY
C;13743;ERAG
C;13749;CASU
C;13756;GLCP
C;13777;AMSW
C;13796;TDLP
C;13798;ORMP
C;13799;XONE
C;13819;SSNI
C;13825;ENTA
C;13829;TTPH
C;13830;WTSZ
C;13862;TMHC
C;13866;INLT
C;13878;MDXG
C;13883;OVSC
C;13885;
C;13895;EMES
C;13906;WLH
C;13918;ADHD
C;13919;ABK
C;13921;CUUU
C;13927;HCAP
C;13931;ASFG
C;13939;FRMM
C;13954;ESPT
C;13962;NSTQ
C;13966;PETX
C;13976;HE10
C;13977;BIOA
C;14041;STGP
C;14044;AGIO
C;14045;00WW
C;14055;OMED
C;14063;CVTN
C;14076;MSUA
C;14086;WPTN
C;14087;YUME
C;14089;FIFI
C;14095;CTRZ
C;14101;RGDO
C;14107;TNXP
C;14134;OCIR
C;14137;TMNC
C;14141;SAPC
C;14145;AAOI
C;14151;CPTA
C;14161;FPRX
C;14164;FULE
C;14167;OPHT
