="Table 1: Summary Statistics by Treatment Group (Pre-Treatment, Mar-Aug 2016)"
="",="(1)",="",="",="",="",="(2)",="",="",="",="",="(3)",="",="",="",="",="(4)",="",="",="",=""
="",="Control",="",="",="",="",="G1 ($0.05 tick)",="",="",="",="",="G2 ($0.10 tick)",="",="",="",="",="G3 ($0.20 tick)",="",="",="",=""
="",="count",="mean",="sd",="min",="max",="count",="mean",="sd",="min",="max",="count",="mean",="sd",="min",="max",="count",="mean",="sd",="min",="max"
="Log Turnover",="108011",="1.104408",="1.377356",="-3.602076",="3.855409",="37324",="1.113186",="1.327818",="-3.602076",="3.855409",="36484",="1.06376",="1.438524",="-3.602076",="3.855409",="34337",="1.113142",="1.34605",="-3.602076",="3.855409"
="Log Volume",="108011",="11.09223",="1.956457",="4.828314",="14.5389",="37324",="11.12935",="1.943393",="4.828314",="14.5389",="36484",="11.0214",="2.043259",="4.828314",="14.5389",="34337",="11.11764",="1.895132",="4.828314",="14.5389"
="Inverse Price",="108011",=".0966775",=".0972962",=".0063462",=".6688963",="37324",=".098005",=".0989589",=".0063462",=".6688963",="36484",=".1074211",=".1138734",=".0063462",=".6688963",="34337",=".0973478",=".100534",=".0063462",=".6688963"
="Absolute Daily Return",="108011",=".0177605",=".0191427",="0",=".1037736",="37324",=".0172337",=".0185054",="0",=".1037736",="36484",=".0179713",=".019221",="0",=".1037736",="34337",=".0169985",=".0182162",="0",=".1037736"
="Quoted Spread",="108011",=".0826259",=".2174999",=".0099983",="1.719999",="37324",=".0775268",=".2077733",=".0099983",="1.719999",="36484",=".0786167",=".1940722",=".0099983",="1.719999",="34337",=".0818659",=".2278781",=".0099983",="1.719999"
="Avg Pre-Treatment Spread",="108011",=".0806834",=".1910053",=".0099999",="1.705433",="37324",=".0755418",=".1850742",=".01",="1.701574",="36484",=".0794083",=".1714485",=".01",="1.612747",="34337",=".0788199",=".200126",=".01",="1.657322"
="Small Spread (pre-spread < $0.05)",="108011",=".7460444",=".4352745",="0",="1",="37324",=".7393902",=".4389732",="0",="1",="36484",=".7458338",=".4353975",="0",="1",="34337",=".7471823",=".4346336",="0",="1"
="Observations",="108011",="",="",="",="",="37324",="",="",="",="",="36484",="",="",="",="",="34337",="",="",="",=""
="SmallSpread = 1 if avg pre-treatment quoted spread < $0.05."
