="Impact of Tick Size on Trading Volume"

="",="(1)",="(2)"
="",="ln_turnover",="ln_turnover"

="c.g1#c.treatmentperiod",="-0.0884***",="0.0370"
="",="(0.0328)",="(0.0762)"

="c.g2#c.treatmentperiod",="-0.0662*",="0.0548"
="",="(0.0359)",="(0.0868)"

="c.g3#c.treatmentperiod",="-0.0954**",="0.0447"
="",="(0.0374)",="(0.0935)"

="c.g1#c.postpilot",="-0.0586",="0.0241"
="",="(0.0443)",="(0.1041)"

="c.g2#c.postpilot",="-0.0995**",="0.0521"
="",="(0.0465)",="(0.1077)"

="c.g3#c.postpilot",="0.0031",="0.2270*"
="",="(0.0470)",="(0.1180)"

="c.g1#c.treatmentperiod#c.SmallSpread",="",="-0.1691**"
="",="",="(0.0784)"

="c.g2#c.treatmentperiod#c.SmallSpread",="",="-0.1607*"
="",="",="(0.0900)"

="c.g3#c.treatmentperiod#c.SmallSpread",="",="-0.1867*"
="",="",="(0.0968)"

="c.g1#c.postpilot#c.SmallSpread",="",="-0.1110"
="",="",="(0.1080)"

="c.g2#c.postpilot#c.SmallSpread",="",="-0.2017*"
="",="",="(0.1128)"

="c.g3#c.postpilot#c.SmallSpread",="",="-0.2990**"
="",="",="(0.1216)"

="N",="1378164",="1378164"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
