="Impact of Tick Size on Log Turnover"

="",="(1)",="(2)"
="",="H1: Average Effect",="H2: Heterogeneous by Spread"

="G1 x Treatment",="-0.0881***",="0.0401"
="",="(0.0333)",="(0.0768)"
="G2 x Treatment",="-0.0578",="0.0733"
="",="(0.0364)",="(0.0896)"
="G3 x Treatment",="-0.0959**",="0.0475"
="",="(0.0383)",="(0.0941)"
="G1 x Post-Pilot",="-0.0480",="0.0525"
="",="(0.0462)",="(0.1087)"
="G2 x Post-Pilot",="-0.0797",="0.0771"
="",="(0.0485)",="(0.1111)"
="G3 x Post-Pilot",="0.0200",="0.2471**"
="",="(0.0488)",="(0.1212)"
="G1 x Treatment x SmallSpread",="",="-0.1727**"
="",="",="(0.0791)"
="G2 x Treatment x SmallSpread",="",="-0.1743*"
="",="",="(0.0925)"
="G3 x Treatment x SmallSpread",="",="-0.1912*"
="",="",="(0.0977)"
="G1 x Post-Pilot x SmallSpread",="",="-0.1351"
="",="",="(0.1128)"
="G2 x Post-Pilot x SmallSpread",="",="-0.2088*"
="",="",="(0.1167)"
="G3 x Post-Pilot x SmallSpread",="",="-0.3031**"
="",="",="(0.1251)"

="N",="1391036",="1391036"

="Firm and date FE absorbed. Clustered SE at firm level. H1: Gi x Treatment = avg effect. H2: Gi x Treatment = effect for SmallSpread=0; Gi x Treatment x SmallSpread = additional effect for SmallSpread=1 (tick binding, pre-spread < $0.05). * p<0.10  ** p<0.05  *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
