="Impact of Tick Size on Log Volume — Robustness"

="",="(1)",="(2)"
="",="H1: Average Effect",="H2: Heterogeneous by Spread"

="G1 x Treatment",="-0.1097***",="0.0440"
="",="(0.0371)",="(0.0841)"
="G2 x Treatment",="-0.0561",="0.1089"
="",="(0.0423)",="(0.1059)"
="G3 x Treatment",="-0.0932**",="0.0691"
="",="(0.0410)",="(0.0956)"
="G1 x Post-Pilot",="-0.0703",="0.1045"
="",="(0.0531)",="(0.1196)"
="G2 x Post-Pilot",="-0.0884",="0.1328"
="",="(0.0579)",="(0.1329)"
="G3 x Post-Pilot",="0.0144",="0.2812**"
="",="(0.0550)",="(0.1331)"
="G1 x Treatment x SmallSpread",="",="-0.2068**"
="",="",="(0.0869)"
="G2 x Treatment x SmallSpread",="",="-0.2192**"
="",="",="(0.1095)"
="G3 x Treatment x SmallSpread",="",="-0.2163**"
="",="",="(0.0998)"
="G1 x Post-Pilot x SmallSpread",="",="-0.2355*"
="",="",="(0.1250)"
="G2 x Post-Pilot x SmallSpread",="",="-0.2948**"
="",="",="(0.1400)"
="G3 x Post-Pilot x SmallSpread",="",="-0.3563***"
="",="",="(0.1378)"

="N",="1391036",="1391036"

="Firm and date FE absorbed. Clustered SE at firm level. SmallSpread = 1 if avg pre-treatment quoted spread < $0.05. * p<0.10  ** p<0.05  *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
