="",="(1)",="",="",="",="",="(2)",="",="",="",="",="(3)",="",="",="",="",="(4)",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max",="count",="mean",="sd",="min",="max",="count",="mean",="sd",="min",="max",="count",="mean",="sd",="min",="max"
="ln_turnover",="108011",="1.104995",="1.377625",="-3.589581",="3.91637",="37324",="1.113712",="1.328158",="-3.589581",="3.91637",="36484",="1.064384",="1.438752",="-3.589581",="3.91637",="34339",="1.113737",="1.346539",="-3.589581",="3.91637"
="ln_volume",="108011",="11.09253",="1.956489",="4.836282",="14.58417",="37324",="11.12969",="1.943531",="4.836282",="14.58417",="36484",="11.02171",="2.043198",="4.836282",="14.58417",="34339",="11.11789",="1.895208",="4.836282",="14.58417"
="Inv_Price",="108011",=".0966814",=".0973192",=".0063723",=".7633588",="37324",=".0980347",=".0991578",=".0063723",=".9009009",="36484",=".107533",=".1144518",=".0063723",=".7843137",="34339",=".0974957",=".1014096",=".0063723",=".9389671"
="abs_ret",="108011",=".0177908",=".0192809",="0",=".1069768",="37324",=".0172644",=".0186509",="0",=".1069768",="36484",=".0180009",=".0193551",="0",=".1069768",="34339",=".0170257",=".0183435",="0",=".1069768"
="spread",="108011",=".0824806",=".2164097",=".0099945",="1.700001",="37324",=".0773575",=".2064387",=".0099945",="1.700001",="36484",=".0785224",=".193278",=".0099945",="1.700001",="34339",=".0816514",=".2263605",=".0099945",="1.700001"
="firm_pre_spread",="108011",=".0805359",=".1900529",=".0099999",="1.685906",="37324",=".0753818",=".1838993",=".01",="1.682835",="36484",=".0792971",=".1707123",=".01",="1.596484",="34339",=".0786229",=".1987801",=".01",="1.63937"
="SmallSpread",="108011",=".7460444",=".4352745",="0",="1",="37324",=".7393902",=".4389732",="0",="1",="36484",=".7458338",=".4353975",="0",="1",="34339",=".7471388",=".4346584",="0",="1"
="Observations",="108011",="",="",="",="",="37324",="",="",="",="",="36484",="",="",="",="",="34339",="",="",="",=""
