="Impact of Tick Size on Log Volume"

="",="(1)",="(2)"
="",="H1: Average Effect",="H2: Heterogeneous by Spread"

="G1 x Treatment",="-0.1081***",="0.0420"
="",="(0.0367)",="(0.0835)"
="G2 x Treatment",="-0.0680",="0.0823"
="",="(0.0413)",="(0.1002)"
="G3 x Treatment",="-0.0930**",="0.0677"
="",="(0.0400)",="(0.0949)"
="G1 x Post-Pilot",="-0.0799",="0.0774"
="",="(0.0512)",="(0.1159)"
="G2 x Post-Pilot",="-0.1117**",="0.1010"
="",="(0.0559)",="(0.1281)"
="G3 x Post-Pilot",="-0.0046",="0.2614**"
="",="(0.0525)",="(0.1305)"
="G1 x Treatment x SmallSpread",="",="-0.2021**"
="",="",="(0.0863)"
="G2 x Treatment x SmallSpread",="",="-0.1995*"
="",="",="(0.1043)"
="G3 x Treatment x SmallSpread",="",="-0.2141**"
="",="",="(0.0988)"
="G1 x Post-Pilot x SmallSpread",="",="-0.2117*"
="",="",="(0.1212)"
="G2 x Post-Pilot x SmallSpread",="",="-0.2830**"
="",="",="(0.1353)"
="G3 x Post-Pilot x SmallSpread",="",="-0.3553***"
="",="",="(0.1343)"

="N",="1378164",="1378164"

="Firm and date FE absorbed. Clustered SE at firm level. Controls include inverse price and lagged absolute return. SmallSpread = 1 if avg pre-treatment quoted spread < $0.05. * p<0.10  ** p<0.05  *** p<0.01"
="* p<0.10, ** p<0.05, *** p<0.01"
